SA2_CODE,EDU_DIPLOMA,EDU_BACHELOR,EDU_CERT_I_II,EDU_CERT_III_IV,EDU_CERT,EDU_CERT_ALL,EDU_GRAD_DIP_CERT,EDU_POSTGRAD_DEGREE,EDU_POSTGRAD,EDU_OTHER
101021007,272,401,33,557,779,1369,63,166,229,547
101021008,548,586,72,1245,1602,2919,121,200,321,618
101021009,797,1288,126,1500,1928,3554,213,462,675,1022
101021010,385,658,65,630,818,1513,86,289,375,341
101021011,1459,2079,144,2251,2942,5337,464,915,1379,1638
101021012,1093,1501,96,1579,2010,3685,325,741,1066,618
101031013,140,153,27,361,481,869,19,17,36,234
101031014,411,504,77,1105,1449,2631,94,111,205,974
101031015,232,314,34,537,720,1291,27,81,108,387
101031016,555,721,93,1366,1769,3228,104,175,279,731
101041017,467,439,101,1310,1768,3179,101,89,190,924
101041018,609,670,109,1373,1904,3386,132,171,303,978
101041019,531,765,102,1283,1635,3020,139,159,298,909
101041020,646,812,129,1576,2098,3803,163,184,347,889
101041021,255,352,19,568,728,1315,85,80,165,354
101041022,0,0,0,0,0,0,0,0,0,0
101041023,188,167,48,463,649,1160,22,28,50,467
101041024,247,253,42,672,890,1604,52,63,115,319
101041025,806,970,118,1789,2448,4355,201,205,406,1163
101041026,603,669,91,1433,1941,3465,131,180,311,826
101041027,648,777,116,1549,2110,3775,167,197,364,1130
101051539,1561,1421,276,3659,4816,8751,247,343,590,2811
101051540,906,896,124,2190,2880,5194,162,246,408,1393
101061541,427,626,65,939,1287,2291,88,135,223,668
101061542,927,1500,87,1514,1944,3545,317,583,900,912
101061543,550,646,126,1634,2159,3919,86,90,176,1016
101061544,454,480,95,1063,1433,2591,59,83,142,828
102011028,704,1068,58,1052,1420,2530,158,283,441,452
102011029,964,1262,92,1725,2328,4145,203,323,526,759
102011030,390,435,57,741,1038,1836,47,113,160,554
102011031,1165,1544,120,1909,2603,4632,202,419,621,1378
102011032,1577,2323,196,2729,3694,6619,238,582,820,1799
102011033,545,508,77,1062,1390,2529,64,118,182,494
102011034,544,660,72,1222,1718,3012,86,151,237,559
102011035,545,652,70,1160,1496,2726,90,157,247,383
102011036,665,818,72,1374,1761,3207,110,177,287,460
102011037,593,743,59,954,1278,2291,104,213,317,414
102011038,621,680,63,1306,1715,3084,101,128,229,465
102011039,1218,2004,137,1880,2591,4608,262,534,796,886
102011040,1726,1729,281,3889,5238,9408,239,511,750,2317
102011041,885,1303,77,1486,1979,3542,187,300,487,629
102011042,996,1097,162,2157,2895,5214,162,312,474,1409
102011043,920,948,152,1783,2345,4280,105,214,319,1180
102021044,1537,1579,255,3879,5024,9158,185,276,461,1983
102021045,568,360,151,2015,2557,4723,41,43,84,778
102021046,619,456,130,1857,2378,4365,64,84,148,837
102021047,1164,1107,175,2890,3774,6839,159,226,385,1008
102021048,1242,979,273,3797,4946,9016,137,168,305,2553
102021049,280,330,27,530,732,1289,40,82,122,352
102021050,644,490,141,2095,2699,4935,55,82,137,991
102021051,427,544,49,806,1035,1890,57,132,189,298
102021052,342,277,68,1253,1581,2902,34,48,82,371
102021053,1039,1043,173,2458,3282,5913,159,226,385,1655
102021054,619,537,111,1754,2260,4125,85,89,174,1164
102021055,376,471,65,849,1101,2015,56,105,161,416
102021056,1116,943,165,2503,3273,5941,127,210,337,890
102021057,536,477,112,1426,1877,3415,66,91,157,854
103011058,1503,2380,305,3552,4784,8641,381,630,1011,2723
