SA2_CODE,LAB_FORCE,UNEMPLOYED,PERC_UNEMPLOYED
101021007,1721,73,0.04241719930273097
101021008,4392,208,0.04735883424408015
101021009,5918,306,0.05170665765461305
101021010,2788,140,0.05021520803443329
101021011,9078,265,0.029191451861643535
101021012,7386,254,0.03438938532358516
101031013,1117,50,0.044762757385854966
101031014,3042,143,0.04700854700854701
101031015,1627,60,0.03687768899815612
101031016,3974,73,0.01836940110719678
101041017,2764,225,0.08140376266280752
101041018,3130,266,0.08498402555910543
101041019,3657,181,0.049494120864096255
101041020,3940,235,0.05964467005076142
101041021,1286,56,0.04354587869362364
101041022,6,0,0
101041023,1238,86,0.06946688206785137
101041024,1500,98,0.06533333333333333
101041025,4299,197,0.0458246103745057
101041026,3080,207,0.0672077922077922
101041027,3016,177,0.058687002652519894
101051539,10415,708,0.06797887662025924
101051540,5955,253,0.04248530646515533
101061541,3068,110,0.03585397653194263
101061542,6189,175,0.028275973501373404
101061543,4462,275,0.061631555356342446
101061544,3269,163,0.04986234322422759
102011028,3836,213,0.055526590198123046
102011029,4967,225,0.04529897322327361
102011030,2337,85,0.036371416345742404
102011031,5932,311,0.052427511800404586
102011032,9184,686,0.07469512195121951
102011033,3366,215,0.06387403446226976
102011034,3136,187,0.05963010204081633
102011035,3489,197,0.05646316996274004
102011036,4146,236,0.056922334780511334
102011037,3002,187,0.06229180546302465
102011038,3346,158,0.04722056186491333
102011039,6924,350,0.05054881571346043
102011040,9954,775,0.07785814747840064
102011041,4872,198,0.04064039408866995
102011042,5767,474,0.0821917808219178
102011043,5074,382,0.07528577059519118
102021044,9958,631,0.06336613777867041
102021045,5020,468,0.09322709163346614
102021046,3932,344,0.08748728382502544
102021047,7707,455,0.05903723887375113
102021048,9106,820,0.09005051614320228
102021049,1699,58,0.034137728075338436
102021050,4277,321,0.07505260696750059
102021051,2598,133,0.051193225558121634
102021052,2550,203,0.0796078431372549
102021053,6343,519,0.08182248147564244
102021054,3758,302,0.08036189462480042
102021055,2576,164,0.06366459627329192
102021056,7126,429,0.06020207690148751
102021057,3696,370,0.1001082251082251
103011058,11168,723,0.06473853868194843
103011059,5217,307,0.058846080122675865
103011060,3271,144,0.044023234484867016
103011061,2055,124,0.06034063260340632
103021062,2852,184,0.06451612903225806
103021063,3639,264,0.07254740313272877
103021064,2394,131,0.054720133667502086
103021065,4418,244,0.0552286102308737
103021066,1511,79,0.05228325612177366
103021067,4724,342,0.07239627434377646
103021068,1471,114,0.07749830047586675
103021069,2619,95,0.036273386788850705
103031070,4946,423,0.08552365547917509
103031071,3504,225,0.0642123287671233
103031072,5339,297,0.0556283948304926
103031073,1209,127,0.10504549214226634
103031074,4342,309,0.07116536158452326
103031075,0,0,NaN
103041076,3430,200,0.05830903790087463
103041077,8277,631,0.0762353509725746
103041078,9845,540,0.05485017775520569
103041079,5754,210,0.0364963503649635
104011080,7225,731,0.1011764705882353
104011081,6176,561,0.09083549222797928
104011082,5746,439,0.07640097459101984
104021083,2437,176,0.07221994255231842
104021084,7405,565,0.07629979743416611
104021085,4289,307,0.07157845651667055
104021086,1848,116,0.06277056277056277
104021087,1288,106,0.08229813664596274
104021088,4245,231,0.05441696113074205
104021089,8686,689,0.07932304858392816
104021090,1923,137,0.07124284971398856
104021091,5272,404,0.07663125948406677
105011092,1559,149,0.09557408595253368
105011093,2144,124,0.05783582089552239
105011094,1666,143,0.0858343337334934
105011095,2228,145,0.06508078994614004
105011096,2430,264,0.10864197530864197
105021097,7572,668,0.08821975699947174
105021098,1013,73,0.07206317867719644
105031099,3110,237,0.07620578778135048
105031100,5103,315,0.06172839506172839
105031101,8480,437,0.05153301886792453
105031102,4070,252,0.06191646191646192
105031103,2895,108,0.03730569948186528
105031104,1963,114,0.058074375955170655
105031105,2836,206,0.07263751763046544
105031106,3168,290,0.09154040404040405
106011107,5064,293,0.05785939968404424
106011108,8664,878,0.10133887349953832
106011109,3522,210,0.059625212947189095
106011110,4111,227,0.05521770858671856
106011111,7603,722,0.09496251479679074
106011112,8129,560,0.0688891622585804
106011113,2305,106,0.04598698481561822
106021114,3197,253,0.07913669064748201
106021115,12928,969,0.0749535891089109
106021116,3873,161,0.041569842499354505
106021117,10708,861,0.08040717220769518
106021118,5412,299,0.05524759793052476
106031119,2534,164,0.06471981057616416
106031120,2503,221,0.08829404714342788
106031121,8381,602,0.07182913733444696
106031122,5855,583,0.0995730145175064
106031123,2897,127,0.043838453572661376
106031124,1539,130,0.08447043534762833
106031125,6450,377,0.05844961240310077
106041126,5385,519,0.09637883008356546
106041127,1954,81,0.041453428863868984
106041128,2758,122,0.04423495286439449
106041129,3854,197,0.05111572392319668
107011131,10462,801,0.07656279870005735
107011132,4477,208,0.046459682823319186
107011133,3,3,1
107011134,7497,457,0.060957716419901296
