SA2_CODE,BORN_OVERSEAS,PERC_BORN_OVERSEAS,AMERICAS,AUSTRALIA,NORTH_AFRICA_AND_THE_MIDDLE_EAST,NORTH_EAST_ASIA,NORTH_WEST_EUROPE,OCEANIA_AND_ANTARCTICA,SOUTH_EAST_ASIA,SOUTHERN_AND_CENTRAL_ASIA,SOUTHERN_AND_EASTERN_EUROPE,SUB_SAHARAN_AFRICA,PERC_BORN_AMERCIAS,PERC_BORN_NA_ME,PERC_BORN_NE_ASIA,PERC_BORN_NW_EUROPE,PERC_BORN_OCA,PERC_BORN_SE_ASIA,PERC_BORN_SC_ASIA,PERC_BORN_SE_EUROPE,PERC_BORN_SS_AFRICA
101021007,429,0.1270358306188925,34,2948,6,4,245,61,23,21,28,7,0.010068107787977496,0.0017767249037607344,0.0011844832691738228,0.07254960023689665,0.0180633698549008,0.006810778797749482,0.00621853716316257,0.00829138288421676,0.00207284572105419
101021008,1264,0.1659228143869782,57,6354,6,33,281,164,136,79,473,35,0.007482278813336834,7.876082961407193e-4,0.0043318456287739565,0.03688632186925702,0.021527960094512997,0.01785245471252297,0.010370175899186138,0.06208978734576004,0.004594381727487529
101021009,2685,0.26963245631652943,106,7273,71,152,418,261,343,634,638,62,0.010644707772645109,0.007129945772243422,0.015264109258887326,0.04197630046194015,0.026210082345852582,0.03444466760393653,0.06366740309299056,0.06406909017875076,0.006226149829282989
101021010,1172,0.2626036298453955,56,3291,31,42,210,115,123,365,176,54,0.012547613712749272,0.0069460004481290616,0.009410710284561953,0.04705355142280977,0.02576742101725297,0.027559937261931438,0.08178355366345508,0.039435357382926285,0.012099484651579655
101021011,2143,0.1411447013106764,157,13040,22,52,1067,236,141,114,244,110,0.010340512415201212,0.0014489890008562208,0.0034248830929328854,0.07027596654152671,0.015543700191003096,0.009286702232760324,0.007508397549891326,0.016070605282223538,0.007244945004281104
101021012,1985,0.16409027031495413,160,10112,45,67,656,255,172,148,391,91,0.01322641977349756,0.003719930561296189,0.005538563280152104,0.05422832107134,0.02107960651401174,0.014218401256509878,0.012234438290485244,0.03232206332148466,0.007522526246176738
101031013,185,0.08529276164130936,6,1984,0,17,105,25,9,3,17,3,0.0027662517289073307,0,0.007837713231904103,0.048409405255878286,0.011526048870447211,0.004149377593360996,0.0013831258644536654,0.007837713231904103,0.0013831258644536654
101031014,936,0.15445544554455445,43,5124,23,60,401,107,87,41,148,26,0.007095709570957095,0.0037953795379537954,0.009900990099009901,0.06617161716171617,0.017656765676567657,0.014356435643564357,0.006765676567656765,0.02442244224422442,0.0042904290429042905
101031015,379,0.13114186851211074,18,2511,6,6,246,32,12,3,37,19,0.006228373702422145,0.0020761245674740486,0.0020761245674740486,0.08512110726643599,0.011072664359861591,0.004152249134948097,0.0010380622837370243,0.012802768166089966,0.00657439446366782
101031016,883,0.14157447490780825,76,5354,6,76,452,124,51,6,69,23,0.012185345518678852,9.62000962000962e-4,0.012185345518678852,0.0724707391374058,0.019881353214686547,0.008177008177008177,9.62000962000962e-4,0.011063011063011063,0.003687670354337021
101041017,1061,0.15120421832692033,45,5956,16,24,612,117,53,27,143,24,0.006412997007268063,0.0022801767136953113,0.003420265070542967,0.08721675929884566,0.016673792218896963,0.007553085364115719,0.003847798204360838,0.020379079378651844,0.003420265070542967
101041018,1199,0.1586608442503639,41,6358,8,22,691,122,70,25,169,51,0.005425433373031626,0.0010586211459573905,0.002911208151382824,0.09143840148206961,0.016143972475850206,0.009262935027127167,0.0033081910811168453,0.022363371708349875,0.006748709805478364
101041019,731,0.09571821395836061,60,6906,4,12,429,81,85,25,21,14,0.007856488149797041,5.237658766531361e-4,0.0015712976299594081,0.05617389027104884,0.010606259002226006,0.011130024878879142,0.0032735367290821003,0.002749770852428964,0.0018331805682859762
101041020,968,0.12140975793302396,57,7005,6,10,639,133,36,4,49,34,0.007149128308039634,7.525398218989088e-4,0.0012542330364981814,0.08014549103223378,0.016681299385425813,0.004515238931393453,5.016932145992726e-4,0.006145741878841089,0.0042643923240938165
101041021,390,0.13026052104208416,17,2604,3,3,276,31,17,3,24,16,0.0056780227120908485,0.001002004008016032,0.001002004008016032,0.09218436873747494,0.010354041416165664,0.0056780227120908485,0.001002004008016032,0.008016032064128256,0.005344021376085505
101041022,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101041023,335,0.11705101327742837,15,2527,5,6,183,39,24,9,40,14,0.005241090146750524,0.0017470300489168414,0.0020964360587002098,0.0639412997903564,0.013626834381551363,0.008385744234800839,0.0031446540880503146,0.013976240391334731,0.004891684136967156
101041024,320,0.10814464346062859,25,2639,5,3,204,38,4,3,30,8,0.00844880027036161,0.0016897600540723217,0.001013856032443393,0.06894221020615073,0.012842176410949644,0.0013518080432578573,0.001013856032443393,0.01013856032443393,0.0027036160865157146
101041025,1412,0.14522266790085364,80,8311,10,36,890,132,109,21,92,42,0.008227913195515787,0.0010284891494394734,0.0037025609379821045,0.09153553430011313,0.013576056772601049,0.01121053172889026,0.0021598272138228943,0.009462100174843155,0.004319654427645789
101041026,1018,0.14000825195984046,48,6253,7,13,613,111,58,24,120,24,0.006601567872369688,9.627286480539128e-4,0.0017879246321001237,0.08430752303672122,0.015266125704854904,0.007976894512446707,0.003300783936184844,0.01650391968092422,0.003300783936184844
101041027,1183,0.1468653010552452,85,6872,6,17,773,101,34,18,114,35,0.010552451893234015,7.448789571694599e-4,0.002110490378646803,0.09596523898199875,0.012538795779019243,0.004220980757293606,0.0022346368715083797,0.01415270018621974,0.004345127250155183
101051539,2110,0.09928944520257871,104,19141,94,157,727,287,260,221,137,123,0.004893887346477813,0.004423321255470331,0.007387887628817468,0.03421015481624394,0.013505246811914734,0.012234718366194532,0.010399510611265352,0.006446755446802503,0.0057879629193920284
