"SEX_ABS","Sex","AGE","Age","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Census year","Value","Flag Codes","Flags"
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011028","Avoca Beach - Copacabana","2016","2016",7312,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011029","Box Head - MacMasters Beach","2016","2016",10689,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011030","Calga - Kulnura","2016","2016",4705,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011031","Erina - Green Point","2016","2016",13953,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011032","Gosford - Springfield","2016","2016",18803,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011033","Kariong","2016","2016",6385,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011034","Kincumber - Picketts Valley","2016","2016",7313,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011035","Narara","2016","2016",6642,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011036","Niagara Park - Lisarow","2016","2016",8029,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011037","Point Clare - Koolewong","2016","2016",6206,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011038","Saratoga - Davistown","2016","2016",6984,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011039","Terrigal - North Avoca","2016","2016",13347,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011040","Umina - Booker Bay - Patonga","2016","2016",23590,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011041","Wamberal - Forresters Beach","2016","2016",9757,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011042","Woy Woy - Blackwall","2016","2016",13924,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102011043","Wyoming","2016","2016",11436,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102021044","Bateau Bay - Killarney Vale","2016","2016",22008,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102021045","Blue Haven - San Remo","2016","2016",11046,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102021046","Budgewoi - Buff Point - Halekulani","2016","2016",9409,,
"3","Persons","TT","All ages","1","New South Wales","SA2","Statistical Area Level 2","102021047","Chittaway Bay - Tumbi Umbi","2016","2016",15355,,
